Stichwort,Titel,Beschreibung,Sprachausgabe
nienawaegali,Nienawägali,"n.'«Nirgendswägelchen»'. In der Redewendung as Nienawägali und as Nüütali druuf '«ein Nirgendswägelchen und ein kleines Nichts darauf»', auf die Frage der Kinder, was sie geschenkt bekommen.",
nieta,nieta,"(gnietat)'schlecht gelaunt herummeckern'. Mhd. nieten.",
nieti,Nieti,"m.'jemand der nietat'.",
nietig,nietig,"'schlecht gelaunt'.",
niggsla,niggsla,"(gniggslat)'eine feine Arbeit verrichten ohne zu einem Ergebnis zu kommen', oft auch einfach 'so tun, als ob man etwas arbeiten würde'.",
niggsli,Niggsli,"m.'einer, der niggslat'.",
niidig,niidig,'neidisch'.,
nikalaus,Nikalaus,"m.'heiliger Nikolaus'. Jüngere Form, älter ist Sämichlaas.",
no(ch),no(ch),"'noch'. I ha no z tua '«ich habe noch zu tun»; ich muss noch (etwas) arbeiten'. Noch wird betont verwendet, no ist eher unbetont.",
nogger,Nogger,"m.'Schläfchen'. Auch Noor.",
noldi,Noldi,"m.,männl. Vorname, Kurz-/Koseform von Arnold.",
nood,Nood,"f. Pl. Nööt'«Not»'. I dr Nood frissat dr Teifl Fläuga '«in der Not frisst der Teufel Fliegen»'.",
noor,Noor,"m.'Schläfchen'. Auch Nogger.",
noora,noora,"(gnoorat)'einnicken, dösen, einschlafen'. Siehe auch vernoora, näpsa, vernäpsa.",
noeoeta,nööta,"(gnöötat)'nötigen; darauf dringen'. I han an dua gnöötat '«ich habe ihn dann genötet», ich habe ihn (fast) dazu gezwungen'.",
noesser,Nösser,"Pl.'das Kleinvieh', hauptsächlich Ziegen und Schafe.",
nuad,Nuad,"f. Pl. Nüat 'Nut'.",
nuadhobl,Nuadhobl,m.'«Nuthobel»'.,
nueala,nüala,"(gnüalat)'herumwühlen, wühlend etwas suchen'. Mhd. nüelen.",
nuemma,nümma,"'nicht mehr; nie mehr'.",
nueschtara,nüschtara,"(gnüschtarat)'wundrig etwas suchen'.",
nusla,nusla,"(gnuslat)'undeutlich, leise reden'. Gehört vermutlich zu näslen und Nase.",
nueue,nüü,"'neun', die Zahl 9.",
nueued,nüüd,'nichts'.,
nueuelig,Nüülig,"m. Pl. gl.altes Gewichtsmass beim Messen der Milch auf den Alpen. Wohl zur Zahl 9, 'Neunling'.",
nuunahoda,Nuunahoda,"m.'Fruchtstand der Herbstzeitlose (Colchium autumnale L.) im Frühjahr'.Die Pflanze ist giftig und wird bereits beim Heuen aussortiert. DerAbsud der Wurzeln als Mitttel gegen Läuse der Kälber verwendet. DerName bezieht sich auf die mehrteilige Samenkapsel, die mit Hodenverglichen wird. Der erste Wortteil ist unklar, möglicherweiseUmdeutung aus Muni 'junger Stier'.",
nueueni,nüüni,"'neun Uhr'.",
nueuenimaal,Nüünimaal,"n.Brettspiel. Nüünimaal zia, nüünimaala.",
nueuenimaala,nüünimaala,"'Nüünimaal spielen'.",
nueuetali,Nüütali,"n.Vgl. Nienawägali.",
nueuetig,nüütig,"'«nichtig», unbedeutend (von Sachen), zu nichts nütze (von Personen)'.",
ob,ob,"'oberhalb von, über'. Was hescht ob? '«was hast Du über (dem Feuer», was ist in der Pfanne, was kochst Du'; auch übertragen 'was hast du vor zu tun?' Vgl. auch obtua.",
oba,oba,"'oben'. Oba doppa 'im oberen Stockwerk'.",
obacht,Obacht,"f. koll.'Vorsicht'. Gib Obacht 'sei vorsichtig, pass auf', schi hed kän Obacht gä 'sie war unvorsichtig'.",
obanuus,obanuus,"'«oben hinaus»'. Wird gelegentlich als Bezeichnung für 'besser' verwendet: är ischt obanuus 'er ist besser (in irgend einer Sache)'.",
oberbot,Oberbot,"n.'«oberes Aufgebot», höher gelegenes Gebiet', Bezeichnung für die Weiler Steinord und Lavadina.",
oberboetler,Oberbötler,"m.'jemand, der im Oberbot wohnt oder von dort stammt'.",
oberliecht,Oberliecht,"n.'«Oberlicht», oberer Teil der Stalltüre'. Auch Obtürli.",
obertili,Obertili,"f.'«obere Diele», Estrich', der Raum direkt unter dem Dach, der über Vordertili und Hindertili liegt. Zu Tili.","Dein Browser unterstützt die Sprachausgabe nicht."
obma,Obma,"m.'«Obmann», Vorsitzender eines Gremiums'.",
obschi,obschi,"älter auch obsi '«obsich», aufwärts'.",
obtua,obtua,"(obtaa)[óbtùa]'zum Kochen auf den Herd stellen'. Vgl. ob.",
obtuerli,Obtürli,"n.'oberer Teil der Stalltür, der für die Lüftung geöffnet wird'. Auch Oberliecht.",
ofa,Ofa,"m.'«Ofen»'. Dr Ofa ischt zämakeid '«der Ofen ist zusammengefallen»' heisst es, wenn eine Frau ihr Kind erhalten hat. Mhd. oven.",
ofabanch,Ofabanch,m.'«Ofenbank»'.,
ofaboda,Ofaboda,m.'«Ofenboden»'.,
ofaloch,Ofaloch,n.'«Ofenloch»'.,
ofaroeoerli,Ofaröörli,"n.'«Ofenröhrchen», Hohlraum im Ofen in welchen Speisen zum Warmhalten geschoben werden'.",
ofarueueschi,Ofarüüschi,"n.'Holzbrett oder Eisen mit Stiel zum Entfernen der Ofenasche aus dem Ofen. Der zweite Wortteil zu rtr. ruschen. Zu roscha.",
ofasimsa,Ofasimsa,"f.'«Ofensims», oben um den Ofen verlaufender, etwas vorspringender Kranz'.",
ofawand,Ofawand,"f.'«Ofenwand», hintere Kachelofenwand'.",
ofawinchl,Ofawinchl,m.'«Ofenwinkel»'.,
ofawuesch,Ofawüsch,"m.'«Ofenwisch», Holzstecken mit Lumpen zum Saubermachen des Ofenbodens'. Zu wüsscha.",
offa,offa,'«offen»'.,
offapschliessa,offapschliessa,"(offapschlossa)'«aufschliessen», öffnen'. Zu pschliessa.",
oggs,Oggs,"m. Pl. Oggsa, Dim. Oggsi, Öggsli'Ochse'. Wenn man von etwas verwundert ist oder nicht mehr weiterweiss steht man wia der Oggs am Bäärg '«wie der Ochse am Berg»'.",
olgi,Olgi,"n.,weibl. Vorname, Koseform von Olga.",
oor,Oor,"n. Pl. Oora, Dim. Oori, Öörli'Ohr'. I laa dr d Oora staa '«ich lasse Dir die Ohren stehen»' wurde etwa als Drohung an die Kinder ausgesprochen.",
oord,Oord,"n.'«Ort», Stelle'. As würd scho a ma Oord sii '«es wird schon an einem Ort sein»', an Oord und Stell '«an Ort und Stelle»'.",
oordali,oordali,"'«ordentlich», genügend viel; gehörig, brauchbar'. As hed oordali Schnee ggä '«es hat ordentlich (viel) Schnee gegeben'. Vgl. auch wagger.",
oeoerla,öörla,"(ggöörlat)'«öhrlen», an den Ohren ziehen'.",
oepfl,"Öpfl","m. Pl. gl., Dim. Öpfelti, Öpfali 'Apfel'.",
oepflbomm,"Öpflbomm",m.'Apfelbaum'.,
oepflmuas,"Öpflmuas",n.'«Apfelmus»'.,
oepflschelfara,"Öpflschelfara","f.'die Schelfara des Apfels, Apfelhaut'.",
oepflschnitz,"Öpflschnitz","m.'Apfelschnitz',koll. 'Apfelkompott'.",
ops,Ops,"n.'Obst'. Man unterscheidet Moschtops und Falops.",
oraasch,oraasch,'orange'.,
otilli,Otilli,"n.,[ótìl:i]weibl. Vorname, Koseform von Ottilia.",
paatla,paatla,"(paatlat)'genussvoll viel essen'. Wohl romanisch.",
paeffla,päffla,(päfflat)'nörgeln'.,
pagaaschi,Pagaaschi,"f. koll.'minderwertige Waren','minderwertige Gruppe von Personen'. 
Frz. bagage 'Gepäck'.",
pagg,Pagg,"n. koll.'«Pack», Gesindel; unwerte Menschen'.",
pagga,pagga,"(paggt)'«packen», in Angriff nehmen', auch 'etwas erfolgreich beenden', 'etwas festhalten', 'zugreifen'.",
palafari,Palafari,"m. Pl. gl.[pàláfari]'Vielschwätzer', auch 'Grossmaul'. Vgl. auch Lafari. Zu Palaver.",
palausa,Palausa,"f. koll.'Fuss-, Klauenfäule des Rindes'. Frz. balance.",
pansscha,pansscha,"(pansschat)'«panschen», mischen'.",
pantli,Pantli,"m. Pl. gl.'plumper, dicker Mann'. Zum Vornamen Pantaleon.",
pappali,Pappali,"f.'Mohn (Papaver L.)'.",
pappateggl,Pappateggl,"m. Pl. gl.'«Pappendeckel», Karton'.",
pappig,pappig,"'klebrig'. Zu mhd. pappe 'Mus'.",
parfoscht,parfoscht,"[pàrfóscht]'unbedingt, um jeden Preis'. Frz. par force.",
pariera,pariera,"(parierd)[pàríera] '«parieren», gehorchen'.",
parla,parla,"(parlat)'unverständlich reden'. Hauptsächlich auf Italiener bezogen. Vgl. auch priggala. Zu ital. parlare.",
part,Part,"m. Pl. Parta'«Part», Teil, beteiligte Partei'.",
passa,passa,"(passat)'«passen»','warten'. 
Das passat mr 'das gefällt mir'; i ha no uf eina passa muassa 'ich musste noch auf jemanden warten'.",
passchga,passchga,"(passchgat)'bewältigen; meistern; hüten; sich erwehren'. Ital. bastare.",
paessla,pässla,"(pässlat)'mit Worten provozieren'. Är hed albi pässlat, bis discha bööscha woordan ischt 'er hat (ihn) immer provoziert, bis der andere böse wurde'. Zu passen.",
paetsch,Pätsch,"m. Pl. gl.'Schlag'.",
paetscha,pätscha,(pätscht)'schlagen'.,
patschnass,patschnass,"'durch und durch nass'. Auch pflutschnass.",
peiass,Peiass,"m. Pl. Peiassa'Spassmacher, Hanswurst'. Frz. paillasse 'Strohsack, Possenreiter'.",
pelz,Pelz,Belz,
pfacht,Pfacht,"f.'Mass, Berechnung'. Lat. pactum.",
pfanna,Pfanna,"f. Pl. gl., Dim. Pfanni'jede Art von Pfanne zum Kochen'.",
pfannachnaecht,Pfannachnächt,"m.'«Pfannenknecht»; Pfannenhilfe', ein hölzernes Gestell als Unterlage für die Pfanne auf dem Tisch.",
pfannaribl,Pfannaribl,"m.'Holzbesen zum Putzen einer Pfanne'. Zu ribla 'reiben'.",
pfar,Pfar,"m.'Pfarrer'. Jünger für Heer.",
pfarhof,Pfarhof,"m.'«Pfarrhof», von der Gemeinde dem Pfarrer zur Verfügung gestelltes Wohnhaus'.",
pfaetti,Pfätti,"f. Pl. Pfättana 'Dachrinne'.",
pfaettichendl,Pfättichendl,"m.'hölzerne Dachrinne'. Zu Chendl.",
pfent,pfent,"'behende'. Pfent r chunnd, so geid r widr 'so schnell er kommt, so geht er (auch) wieder'.",
pfiiffa,Pfiiffa,"f. Pl. gl., Dim. Pfiiffi'Tabakpfeife','Trillerpfeife'.",
pfiiffachruud,Pfiiffachruud,"n.'«Pfeifenkraut»; Wiesenkerbel (Anthriscus sylvestris)'.",
pfiiffateggl,Pfiiffateggl,"m.'«Pfeifendeckel»; Deckel der Tabakspfeife'. Als Ausruf, starke Ablehnung.",
pfiil,Pfiil,"n. Pl. gl.'Pfeil'.",
pfinnig,pfinnig,'nörglerisch'.,
pflaenna,pflänna,"(pflännat)'«flennen»; weinen, schluchzen'. Dazu auch pflännig von jemandem, der schnell zu weinen beginnt.",
pflaenz,Pflänz,"f. koll.'verrückte Ideen'. Kä Pflänz machha 'keinen Unsinn machen', där hed nu Pflänz im Grind 'der hat nur Unsinn im Kopf'. Zu pflanzen.",
pflaschter,Pflaschter,"n. koll., Dim. Pfläschterli'Mörtel','Strassenbelag','kleiner Verband für eine Wunde'. 
In jüngerer Zeit hat sich für Bedeutung 1 auch das italienische Malta eingebürgert.",
pflaettera,pflättera,"(pflättarat)'Wasser verschütten'; übertragen auch 'in Strömen regnen'.",
pfluaga,pfluaga,"(pfluagat)'«pflugen»; mit einem Pflug Schnee wegräumen'.",
pflumma,Pflumma,"f. Pl. gl., Dim. Pflummi 'Pflaume'.",
pflummabomm,Pflummabomm,m.'«Pflaumenbaum»'.,
pflummamuas,Pflummamuas,n.'«Pflaumenmus»'.,
pflutsch,Pflutsch,"m.'matschige Masse', hauptsächlich von nassem Schnee.",
pflutschnass,pflutschnass,"'sehr nass'. Auch patschnass.",
pfnilla,Pfnilla,"f. Pl. gl.'Anbau am Stall; Heuschuppen'. Die Pfnilla dient als zusätzliches Heu- oder Streuelager. Rätoromanisch fanilla.",
pfnutzger,Pfnutzger,"m. Pl. Pfnützger, Dim. Pfnutzgerli.Gsundheit Pfnutzger bzw. Pfnutzgerli sagt man auf das Niesen eines Kindes.",
pfnuus,Pfnuus,"m. Pl. Pfnüüs '(einmaliges) lautes Schnaufen'.",
pfnuusa,pfnuusa,(pfnuusat)'schlafen'.,
pfoeoena_1,Pfööna,"m.'Föhn'. Dr Pfööna ischt im tua 'es herrscht Föhndruck; der Föhn wird bald kommen'. Lat. favonius.",
pfoeoenajaeugg,Pföönajäugg,"m.'kurze Aufhellung (verursacht durch den Föhn)'. Zu Jäugg.",
pfoeoenatag,Pföönatag,"f.'«Föhntag»; Tag, an welchem föhniges Wetter vorherrscht; Tag an welchem Föhndruck ist'.",
pfoota,Pfoota,"f. Pl. gl. Dim. Pfooti '«Pfote»'.",
pfulfa,Pfulfa,"f. Pl. gl.'grosses Kopfkissen'. Eine Pfulfa mass etwa 65 x 100 cm. Mhd. pfulwe.",
pfuender,Pfünder,"m. Pl. gl., Dim. Pfünderli'Brotlaib', 500 g schwer. Zum Mengenmass Pfund.",
pfunzla,Pfunzla,"f. Pl. gl.'Laterne','dicke, unbewegliche Frau'.Nhd. Funzel.","Dein Browser unterstützt die Sprachausgabe nicht."
pfura,pfura,"(pfurat)'«pfurren», schlecht gelaunt sein und planlos herumrennen'. Auch ummapfura.",
pfuttera,pfuttera,"(pfuttarat)'«pfutteren», lautstark, aber nicht unbedingt begründet reklamieren, meckern'.",
pfutterhund,pfutterhund,"Ausdruck der Abscheu, des Ekels.","Dein Browser unterstützt die Sprachausgabe nicht."
pfuuf,Pfuuf,"m. Pl. Pfüüf, Dim. Pfuufi'einmaliges lautes Schnaufen'.",
pfuufa,pfuufa,"(pfuufat)'«pfaufen», blasen','keuchen, schwer atmen','keifen, zornig aufbrausen'.",
phanga,phanga,"(phangat)'«behangen», hängen bleiben'.",
phueata,phüata,"'«behüten»'. Phüat (a) Gott 'behüte (Euch) Gott', als Abschiedsgruss; phüati '«behüte dich».",
phueatgott,Phüatgott,"n.'Abschied'. Ds Phüatgott nä 'Abschied nehmen'.",
pifilegi,Pifilegi,"n. Pl. gl.'«Privileg», Vorrecht'.",
piischa,piischa,"(piischat)'stürmisch winden im Winter'.",
piischt,Piischt,"m. Pl. gl.'einmaliges Ächzen oder Stöhnen'.",
piischta,piischta,"(piischtat)'stöhnen'. Auch treessa.",
pilgga,Pilgga,m.'Hautknollen'.,
pipolter,Pipolter,"m. Pl. gl.'Schmetterling'. Mhd. vîvalter.",
plaeaera,pläära,"(pläärat)'laut weinen', auch 'blöken'.",
plachta,Plachta,"f. Pl. gl.'mastiges Pflanzenblatt', meist die als Schweinefutter genützte Alpenampfer (Rumex alpinus L.)'. Mhd. blachte.",
plagiera,plagiera,"(plagierd)[plagíera]'prahlen, ausrufen'.",
plagoeoeri,Plagööri,"m. Pl. gl.[plag´ö:ri]'Schreihals, Angeber'.",
planga,planga,"(plangat)'(sehnsüchtig) auf etwas warten'. Mhd. blangen.",
plapp,Plapp,"m. Pl. Pläpp, Dim. Plappi'ein wenig von einer Flüssigkeit'. Auch Gutz.",
plotschig,plotschig,"'unförmig, grob, unschön'.",
pluder,Pluder,"m. koll.'dünner Mist'. Zu mhd. plodern 'rauschen'.",
pluderi,Pluderi,"m. Pl. gl.'«Plauderer», Schwätzer','Alkoholrausch'.",
plugga,plugga,"(pluggat)'Obst ernten'; im Gegensatz zu Beri läsa 'Beeren ernten' und Chriesi gwinna 'Kirschen ernten'. Romanisch, zu lat. piluccare.",
plumpa,Plumpa,"f. Pl. gl. Dim. Plümpli 'grosse Kuhglocke', im Dim. 'kleine oval geformte Kuhglocke (Trinkel)'.",
pluempl,Plümpl,"m.'dicker Mann', auch 'Mann ohne Manieren'.",
plunder,Plunder,"m. koll.'Gesamtheit der Sennereigeräte','wertloses Zeug'. 
Mhd. plunder. Auch Ruschtig.",
pluetsch,Plütsch,"koll.'Hiebe, Schläge'.",
pluetscha,plütscha,"(plütschat)'verprügeln, schlagen'.",
poebla,pöbla,"(pöblat)'«pöbeln», anrempeln'.",
polti,Polti,"m.,männl. Vorname, Kurz-/Koseform von Leopold",
polzagrad,polzagrad,"'vollständig gerade', hauptsächlich ist die vertikaler Richtung gemeint. Zu mhd. bolz.",
poeoegga,pöögga,"(pööggat)'brüllen (vom Vieh)','laut weinen'.",
poosga,poosga,"(poosgat)'verbrechen, anstellen'. Zu nhd. böse.",
poppa,Poppa,"f. Pl. gl., Dim. Poppi'Puppe' als Kinderspielzeug,nur im Dim. 'Kleinkind'. 
Älli Jaar an Popp gid vil Popp, älli Jaar an Chääs gid wenig Chääs 'wenn jedes Jahr ein Kind zur Welt kommt, gibt es (in der Familie) viele Kinder, wenn es aber jedes Jahr nur einen Käse gibt, dann ist das wenig Käse'. Rätoromanisch poppa.",
poppahaeaess,Poppahääss,"n.'Puppenkleid'. Zu Hääss.",
poppascheesa,Poppascheesa,"f.'Puppenwagen'. Zu Scheesa.",
poepperla,pöpperla,"(pöpperlat)'leise und wiederholt klopfen','sich schütteln vor lachen'.",
poeppla,pöppla,"(pöpplat)'ein Kleinkind wiegen; ein Kleinkind betreuen'. Zu Poppa.",
porchilcha,Porchilcha,"f.'Empore in der Kirche'.",
poschtchuebi,Poschtchübi,"n.auch Poschtchübelti 'hölzernes Rückentraggefäss für Milch'. Auch einfaches Chübi.",
poschtiera,poschtiera,"(poschtierd)'hinstellen, aufstellen'. Schi poschtiera 'sich stramm hinstellen, einen Platz belegen'.",
poss,Poss,"m. Pl. Possa '«Boss», Chef'.",
possa,Possa,"f. koll.'Gamaschen'.Sie sind aus Leder oder Stoff und werden seitlich gebunden.",
possaschlitta,Possaschlitta,"m.'kleiner einplätziger Holzschlitten'.Benannt nach seinem Erfinder.",
potschamper,Potschamper,"m. Pl. gl.'Nachttopf, Nachthafen'. Frz. pot de chambre.",
potztausig,potztausig,"'«potztausend»'. Anerkennender Ausruf.",
praechtig,prächtig,"'schön' (vom Wetter),'gut' (vom Befinden),'brav, wohlerzogen' (von Menschen). 
An Prächtaga 'ein Prachtskerl'.",
praeglat,präglat,"nur in der Verbindung präglat volla, von Bäumen, die voll von Früchten sind. Zu brägla.",
praeschi,Präschi,"m.'gewichtiger, dicker Mann'.","Dein Browser unterstützt die Sprachausgabe nicht."
praessaepf,Prässäpf,"m.'«Presshefe», Hefe'. Auch Häpf und Hefl.",
praesshaft,prässhaft,"'invalid, gebrechlich'. Zu nhd. Gebresten.",
praessi,Prässi,"f.'«Presse»', vor allem 'Obstpresse'.",
pressant,Pressant,"m.'Eile'. Hescht pressant? 'bist du in Eile?'; hescht jetz du an Pressant! 'du bist ja sehr in Eile!'. Zu nhd. pressieren.",
pricht,Pricht,"m.'«Bericht», Kunde'. Gib mr Pricht 'gib mir Bescheid'.",
prichta,prichta,"(prichtat)'berichten; mitteilen','an einen Ort bestellen'. 
Mhd. berichten.",
priessch,Priessch,"m. Pl. gl.'Schrei'. Zu mnd. brêsch 'Krach'?",
priesscha,priesscha,"'schreien, brüllen', von Mensch und Tier.",
priggala,priggala,"(priggalat)'italienisch sprechen'. Vgl. auch parla.",
pritschi,Pritschi,"n. Pl. gl.'einfaches Brettergestell mit und ohne Laubsack als Lagerstätte in Alphütten'. Mhd. britze, brütsche.",
probiera,probiera,"(probierd)'«probieren», versuchen'.",
protz,Protz,"m. Pl. Prötz'etwas Grosses, Umfangreiches'. Von einer Sache oder einem Menschen.",
psaessa,psässa,"'besessen; gewieft, geschickt in einer Sache'. Wia psässa '«wie besessen», voll Eifer, gewieft'. Vgl. auch dürtriba.",
pschaera,pschära,"(pschora)'«bescheren»; scheren'.",
pschiissa,pschiissa,"(pschissa)'«bescheissen»; mogeln', beim Spiel,'hintergehen; übervorteilen'. 
De bischt dr Pschissna 'dann bist du der Übervorteilte'.",
pschlaa,pschlaa,(pschlaga)'«beschlagen»'.,
pschliessa,pschliessa,"(pschlossa)'«beschliessen», schliessen'. Auch aretiera und gschpliessa.",
pschnisla,pschnisla,(pschnislat)'niesen'.,
pschtegga,pschtegga,"(pschteggt)'«bestecken», stecken bleiben; verstopfen'.",
pschtella,pschtella,"(pschtelld)'bestellen','aufhalten, anhalten, zum Stillstand bringen'.",
pschtendig,pschtendig,"'«beständig», andauernd, immer'.",
pschuetti,Pschütti,"f.'Jauche'. Älter für heutiges Gülla.",
pschueuessa,pschüüssa,"(pschossa)'ausgeben, fruchten, genügen'. As pschüüsst nid 'das gibt nicht viel her'. Mhd. beschiezen.",
psinna,psinna,"(psunna)'überlegen, erwägen, sich entscheiden','sich erinnern', in der Redensart i mag mi nid psinna. 
Ar muas schi no psinna 'er überlegt noch'. Mhd. besinnen.",
psoorga,psoorga,"(psoorgat)'«besorgen»; in Ordnung bringen'. Ar hed ma s dua psoorgat '«er hat ihm es dann besorgt», dann hat er es ihm (aber) gezeigt'.",
psunder,psunder,"'«besonders»', auch 'sonderbar'.",
psunderbaar,psunderbaar,"'besonders', auch 'besonders gut' oder 'besonders schön'.",
psundrig,psundrig,"'«besonders», speziell', auch 'sonderbar'.",
puggl,Puggl,"m.'«Buckel», Rücken'.",
puggla,puggla,"(pugglat)'schwer arbeiten, etwas Schweres auf dem Rücken tragen'.",
pugglig,pugglig,"'«bucklig», hügelig'.",
puelschter,Pülschter,"n. koll.'Holzabfall'. Vgl. auch Gmüder und Gräschb.",
puenta,Pünta,"n.'Bündnerland', der Kanton Graubünden.",
purscht,Purscht,"m. Pl. Pürscht, Dim. Pürschtli'lediger Bursche', im Dim. auch als Drohung.",
puur,Puur,"m. Pl. Puura, Dim. Püürli'Bauer, Landwirt',die höchste Trumpfkarte beim Jassa.",
puuraznueueni,Puuraznüüni,"m.'Bauernfrühstück'.  Zu Znüüni.Er besteht aus Moscht, Brood und geräuchertem Schweinefleisch.",
pueuerli,Püürli,"n. Pl. gl.'Brötchen, Semmel'.",
puurna_1,Puurna,n.'Bauernarbeit'.,
puuschta,puuschta,"(puuschtat)'ein verärgertes Gesicht, eine Schnuupa, machen'.",
raeaeba,Rääba,"f.'«Rübe», besonders die weisse Rübe,scherzhaft für eine nicht funktionierende Uhr. 
Vgl. auch Chruud.",
raeaebahobl,Rääbahobl,"m.'Hobel zum Schneiden von Rüben'.",
raad,Raad,"m.'«Rat», beratendes Gremium'.",
raar,raar,"'wesentlich'. Kä Raara bzw. kä Raari sagt man von einer unwichtigen, eher nichtsnutzigen Person.",
raeaera,räära,"(gräärat)'weinen', von Kindern, im Gegensatz zu hüüna bei Erwachsenen. Vgl. auch zwägräära und uufräära. Mhd. rêren.",
rabid,rabid,"'schnell, unerwartet rasch'; jünger für älteres weidli. Vgl. auch gschnäll, hurtig und schnäll.",
raechha_1,Rächha,"m.'Rechen'. Mhd. rëche.",
raechhazand,Rächhazand,"m.'Zacke (Zahn) eines Rechens'. Mhd. rëchenzan.",
raechhazandmachher,Rächhazandmachher,"m.'wer einen Rächhazand herstellt'.",
raechhna,rächhna,"(grächhnat)'rechnen','glauben, dass etwa eintritt'. 
Drmid rächn i scho '«damit rechne ich schon»'.",
raechhnig,Rächhnig,"f. Pl. Rächhnaga 'Rechnung'.",
raecht,rächt,"'«recht», richtig'. Alls was rächt ist '«alles, was recht ist»'.",
radibutz,radibutz,"'gänzlich, restlos'.",
radschua,Radschua,"m.'«Radschuh», eiserner Bremsschuh für Räder'.",
raef,Räf,"n. Pl. Räfer, Dim. Räfli'hölzernes Rückentraggestell', haupts. zum Transportieren von Molkereiprodukten,'böses Weib'. 
Mhd. rëf.",
rafa,Rafa,"m. Pl. gl.'Dachsparren, vom First zur Dachrinne laufend, worauf die Dachlatten genagelt werden'. Mhd. râve.",
raega,Räga,m.'Regen'.,
ralli,Ralli,m.'Kater'.,
ramma,Ramma,m.'Rahmen'.,
raemmata,Rämmata,"f.'viel von etwas', meist von einem zubereiteten Mahl.",
rammlig,rammlig,"'brünstig', von Hase und Katze.",
raempa,Rämpa,"m. Pl. gl.'grosses Stück', meist vom dick abgeschnittenen Brot.",
ramsa,ramsa,"(gramsat)'den Rams (ein Kartenspiel) spielen'. Zu frz. ramasser '(die Spielkarten) zusammennehmen'.",
rangg,Rangg,"m. Pl. Rengg, Dim. Ranggi'Kurve, Wendung'. Mhd. ranc.",
rangga,rangga,"(granggat)'«ranken», sich an etwas reiben'. Vgl. auch ranscha.",
ranscha,ranscha,"(granschat)'sich an etwas reiben', auch 'herumtrödeln'. Vgl. auch rangga.",
ranschiera,ranschiera,"(granschierd)[ranschíera]'zur Ordnung weisen'.",
ranza,Ranza,"m. Pl. Ränza, Dim. Ranzi'Bauch','lederne Tasche zum seitwärts Umhängen'. 
Der Ranza wurde, nachdem der Rucksack ihn abgelöst hatte, vor allem zum Salztransport für die Kühe verwendet (Saalztässcha).","Dein Browser unterstützt die Sprachausgabe nicht."
